"","root_name","d","k"
"166","LAT_A",5,4.24422575453889e-05
"167","LAT_A",5,4.1851028714672e-05
"168","LAT_A",10,0.00431344606752552
"169","LAT_A",10,0.004289949704978
"170","LAT_A",11,0.0043566425832402
"171","LAT_A",11,0.00433486600676031
"172","LAT_A",12,0.00431904998494015
"173","LAT_A",12,0.00437070785963923
"174","LAT_A",13,0.00438679467680207
"175","LAT_A",13,0.00426626858951439
"176","LAT_A",14,0.00432032516891346
"177","LAT_A",14,0.00428945191174769
"178","LAT_A",15,0.00430756186859108
"179","LAT_A",15,0.00428576080274925
"180","LAT_A",7,0.00434499266670553
"181","LAT_A",7,0.00428852314401418
"182","LAT_A",8,0.00430609732599848
"183","LAT_A",8,0.00431868930332184
"184","LAT_A",9,0.00430700477271552
"185","LAT_A",9,0.00433944720338877
